Title,Description,Status,Category,Location,ID
 elbilsladdare typ 2 mode 3 3x32A,"A L SURSUM. Har använts till tesla, fungerade 2023-08-11 men är testad sedan dess. ",Untested,Miscellaneous,B03,2023_00284
"Server dell, (48 GB ram, 2 xeon)","Dell server med 2 psu:er, 48GB ram, 2 st intel xeon från ca 2010. sas kontroller, inga diskar.",Lights up,Computer,A03,2023_00285
DLink router,DIR 842. Ingen strömsladd,Untested,Miscellaneous,C04,2023_00286
22 tum Fujitsu skärm,1680x1050,Tested,Video,C04,2023_00287
Digital våg,"Pitney Bowes, går att koppla till dator.",Lights up,Instrument,C04,2023_00288
canon scanner,,Lights up,Miscellaneous,C04,2023_00289
Elskåp m.m,,Untested,Miscellaneous,B03,2023_00290
Elskåp m.m,,Untested,Miscellaneous,B03,2023_00291
Klistermärken,,Tested,Miscellaneous,B03,2023_00292
Power supply Oltronix B603D,"Magisk rök ej inkluderad
(Markerad ""Bränd med rök"")",Doesn't work,Power supply,C04,2023_00293
EM TEST ESD30 testare,"Med 3 prober, ger fina gnistor.",Tested,Instrument,B03,2023_00294
Array 3645A dc power supply,0-36V 0-3A,Tested,Instrument,A04,2023_00295
Mascot PSU Variabel 0-40V,Power supply. Står upp till 30V men levererade effekt upp till 40V på 30V läget. Voltmätaren korrekt upp till 30V. Upp till 2A på 15V,Tested,Power supply,B03,2023_00296
Tektronix TDS520B,"500MHz, 1GS/s. Båda kanaler, och triggar, funkar. Self test passed ",Tested,Instrument,A04,2023_00297
Powerbox 30000B,"Dual 20V2.5A agg. En kanal markerad ""funkar ej"", men båda verkar ge spänning ut",Tested,Power supply,B03,2023_00298
teletracer transmitters,"CW6052
2.55W vid 449.85MHz x2
??W vid 26.825MHz",Untested,Radio,C05,2023_00299
Oscilloskop tektronix Tds210,"60Mhz 1GS/s båda kanaler fungerar, två plastbitar är av se bild",Tested,Instrument,B03,2023_00300
oscilloskop tektronix tds210 funkar ej,Sätts inte på alls,Doesn't work,Instrument,C05,2023_00301
Metcal lödsystem nätaggregat  utan penna,Modell: stss-ps2v-02,Tested,Power supply,B03,2023_00302
Power supply Oltronix B202,"Två kanalers justerbar PSU 0-20V/1,5A",Tested,Power supply,B03,2023_00303
EPROM eraser,"UV:ar bort minnet ur dina EPROMs
Godtyckliga chip ingår",Lights up,Computer,C05,2023_00304
Metcal lödstation utan penna,STSS-PS2V-02,Tested,Power supply,B03,2023_00305
Oscilloskop TDS 380,"400MHz 2Gs/s 
2 kanaler ",Tested,Instrument,A04,2023_00306
Power supply Oltronix B300D,"Justerbar PSU 0-7,5V/3A 0-20V/1,5A 20-40V/1,25A",Tested,Power supply,B03,2023_00307
Scenbelysning ,"Från RunAn 
1250W",Lights up,Miscellaneous,Lampor,2023_00308
Sharp Stereo + 2 st högtalare,"Sharp stereoförstärkare 550W med komponentvideo, CD och FM radio. CD-S6470H

2st monitorhögtalare. 100/200W 6ohm 40-20000Hz
CP-s6470",Tested,Audio,B03,2023_00309
Power supply Oltronix B503D,"Dubbel PSU. Justerbar 0-50V/1,25A samt fast 5V/1A. Skruvar till botten saknas",Tested,Power supply,B03,2023_00310
Scenlampa,Riktat scen belysnings lampa ,Tested,Miscellaneous,Lampor,2023_00311
Tektronix TDS520C,"400MHz, 1GS/s. Self test passed. Båda kanaler funkar + trigger",Tested,Instrument,A04,2023_00312
Power supply Oltronix B503D,"Dubbel PSU. Justerbar 0-50V/1,25A samt fast 5V/1A",Tested,Power supply,B03,2023_00313
PSU 0-40V,Står 30V men fixar nästan 40V. Voltmeter ej korrekt över 30v. Ostabilt strömleverans på 1A. Fixas lätt med att mjukstarta den. ,Tested,Power supply,B03,2023_00314
Power supply Oltronix B503D,"Dubbel PSU. Justerbar 0-50V/1,25A samt fast 5V/1A",Tested,Power supply,B03,2023_00315
Power supply Oltronix B502D,Dubbel PSU. Justerbar 0-18V/3A samt fast 5V/1A,Tested,Power supply,B03,2023_00316
Nätverkskamera,"Modell: Axis Q1931-E. Ganska sliten, inga medföljande kablar",Untested,Video,C05,2023_00317
Oscilloskop Tektronix TDS540,"500MHz, 1GS/s
Båda kanaler fungerar, två vrid-rattar är av men verkar också fungera utöver det.",Tested,Instrument,B03,2023_00318
Scenlampa,Riktat scen belysnings lampa  med filter ,Tested,Miscellaneous,Lampor,2023_00319
Power supply Oltronix B202,"Tvåkanaler Justerbar PSU. 0- 20V/1,5A. Högra ström ratt fungerar ej. ",Tested,Power supply,B03,2023_00320
"Viaborr, multico. Med borr och vagn","Gammal viaborr från multico typ 70-80tal. Fungerar, hade med fördel smörjts. vagnen har hjul som inte vill fungera ordenligt (behöver troligtvis smörjas). Flera borr medföljer. ",Tested,Miscellaneous,A04,2023_00321
HP 8112A Puls generator,"50 MHz ger spänning, ej puls",Doesn't work,Instrument,C05,2023_00322
Tektronix TDS220,"Aquisition Failed, extension module failed, vridrattar av",Lights up,Instrument,C05,2023_00323
Scenlampa ,Stor Riktat scen belysnings lampa med filter,Tested,Miscellaneous,Lampor,2023_00324
HP 8568B Spektrum Analysator,"100 Hz - 1.5 GHz
Testad på 1 GHz ser ut att fungera väl. Står på instrumentet att RBW är utom specifikation.",Tested,Instrument,A04,2023_00325
Fluke 8840A,"Fungerar, inga kablar medföljer. Lite gulnad. Ej kalibrerad. ",Tested,Instrument,A04,2023_00326
Labbaggregat 622 2 kanaler,"0-32V 2A båda kanalerna
Oklart märke, men tyskt",Tested,Power supply,B03,2023_00327
HP8970B Noise Figure Meter,"10MHz-1600MHz
Mäter 1.0 NF utan input",Lights up,Instrument,A04,2023_00328
Oscilloskop Aron BS-601,Startar inte,Doesn't work,Instrument,C05,2023_00329
TECHCON SYSTEMS TS9150E FLUID DISPENSING SYSTEM,,Lights up,Gerät,C05,2023_00330
ascom mtg-9b testutrustning?,oklart exakt vad den gör. har bnc utgång etiketterade mod och audio,Lights up,Gerät,C05,2023_00331
tre kanals psu.,fungerar som det förutom att voltmeter visar lite skumt.,Tested,Power supply,C05,2023_00332
HP8568B Spectrum Anal. 100Hz-1.5GHz,"Fungerar dåligt på låga frekvens <10MHz
Fungerar bättre på högre frekvenser. Vagn inkluderad. Manualer. Förlorar frekvenslåsning intermittent enligt lapp på instrument.",Tested,Instrument,A04,2023_00333
Fluke 79III,"Strömmätning bråkar, annars verkar den fungera. Kablar ingår ej",Tested,Instrument,B03,2023_00334
Power supply Oltronix B8-7,Justerbar PSU 10V/6A,Tested,Power supply,B03,2023_00335
"powerbox 3000 B psu, 3 kanaler",sätts ej på när det kollas in i väggen.,Doesn't work,Power supply,C05,2023_00336
acdc electronics EL 750,"Konstlat upp till 200A, har dynamic load funktion 
Testat endast upp till 30V 3A",Tested,Instrument,B03,2023_00337
Logikoscilloskop Tektronix TLS216,"2GS/s, 16 kanaler. Prober ingår",Tested,Instrument,A04,2023_00338
Powerbox 3000 A,Något svag ström på vänstra kanalen. ,Tested,Power supply,C05,2023_00339
Epson Kopiermaskin SX438W,"Lyser upp, ingen bläck eller papper.",Lights up,Miscellaneous,C05,2023_00340
Koppar isolering - esd,en hel låda,Other,Miscellaneous,C05,2023_00341
AVO RM 215-L/2,AC/DC Breakdown Leakage & Ionisation Tester,Lights up,Gerät,B03,2023_00342
Antenn Celwave ,440MHz (amatörradio på 70cm?). Modell BA6012-0,Untested,Radio,C05,2023_00343
Antenn Celwave,440MHz (amatörradio på 70cm?). Modell BA6012-0,Untested,Radio,C05,2023_00344
Antenn Celwave ,440MHz (amatörradio på 70cm?). Modell BA6012-0,Untested,Radio,C05,2023_00345
HP 8714C,Helt paj mätning. Fixas av den händige! 300kHz - 3GHz,Doesn't work,Instrument,C05,2023_00346
analog multimeter,funkar som den ska.,Tested,Instrument,B03,2023_00347
HP 6624A DC Agg,"4 kanaler. Går up till 50V(0.8A) eller 5A(7V). Förvirrande interface, men verkar funka.",Tested,Power supply,A04,2023_00348
PSU oltron.x ,Gamla kontakter på baksidan +- 40v ,Tested,Power supply,C05,2023_00349
